,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
296,C21H23N7O,CCCCc1nn(C)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,389.46,2.82,94.28,7.0,1.0,0.0,7.0,0.52,5.46,4.2,4.0,29.0,8.0,1.0,0.0,389.1964,6.0
297,C28H28N4O3S,CCCSc1nnc(CCc2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,14.23,0.27,1.56,7.34,500.62,5.56,97.11,6.0,2.0,2.0,11.0,0.26,5.68,2.6,4.0,36.0,7.0,2.0,2.0,500.1882,6.0
298,C28H28N4O3S,CCCSc1nnc(CCc2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,14.23,0.27,1.56,7.34,500.62,5.56,97.11,6.0,2.0,2.0,11.0,0.26,5.68,2.6,4.0,36.0,7.0,2.0,2.0,500.1882,6.0
299,C25H30N4O3S,CCCCc1nnc(SC(C)(C)C)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.97,0.25,0.54,6.23,466.61,5.51,97.11,6.0,2.0,1.0,9.0,0.4,4.96,1.88,3.0,33.0,7.0,2.0,1.0,466.2039,8.0
300,C27H26N8OS,CCCCc1nnc(Sc2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,13.71,0.26,1.75,6.13,510.63,5.25,114.27,8.0,2.0,2.0,10.0,0.26,5.8,4.2,5.0,37.0,9.0,2.0,2.0,510.195,7.0
301,C28H27ClN8OS,CCCCc1nnc(SCc2ccccc2Cl)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,12.45,0.24,0.91,6.09,559.1,6.05,114.27,8.0,2.0,2.0,11.0,0.19,6.46,4.86,5.0,39.0,9.0,2.0,2.0,558.1717,7.0
302,C28H34N8OS,CCCCc1nnc(SCC2CCCCC2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,14.03,0.27,1.67,6.51,530.7,5.77,114.27,8.0,2.0,2.0,11.0,0.24,6.25,4.65,4.0,38.0,9.0,2.0,2.0,530.2576,6.0
303,C29H28N8O4S,CCCCc1nnc([S+]([O-])Cc2ccccc2C(=O)O)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,13.68,0.26,3.89,4.74,584.66,4.11,168.64,9.0,3.0,1.0,12.0,0.2,3.88,-0.96,5.0,42.0,12.0,3.0,2.0,584.1954,5.0
304,C22H24N8O3S,CCCCc1nnc(S(C)(=O)=O)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,13.31,0.26,3.9,4.31,480.55,2.5,148.41,9.0,2.0,0.0,9.0,0.37,2.45,0.85,4.0,34.0,11.0,2.0,1.0,480.1692,8.0
305,C30H30N8O4S,CCCCc1nnc([S+]([O-])Cc2ccccc2C(=O)OC)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,12.36,0.23,3.2,4.69,598.69,4.2,157.64,10.0,2.0,1.0,12.0,0.2,4.23,2.62,5.0,43.0,12.0,2.0,2.0,598.2111,6.0
306,C28H28N8O2,CCCCc1nnc(OCc2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,12.65,0.23,1.75,5.21,508.59,4.68,123.5,8.0,2.0,1.0,11.0,0.27,5.18,3.58,5.0,38.0,10.0,2.0,1.0,508.2335,8.0
307,C28H29N9O,CCCCc1nnc(NCc2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nnn[nH]2)cc1,14.88,0.27,2.84,5.98,507.6,4.71,126.3,8.0,3.0,1.0,11.0,0.24,4.51,3.21,5.0,38.0,10.0,3.0,1.0,507.2495,5.0
308,C32H39N5O5S,CCCCOC(=O)NS(=O)(=O)c1ccccc1-c1ccc(Cn2c(CCC)nc3c(C)c(NC(=O)CCC)cnc32)cc1,15.34,0.3,2.93,7.02,605.76,6.36,132.28,8.0,2.0,2.0,13.0,0.17,6.19,5.76,4.0,43.0,10.0,2.0,2.0,605.2672,2.0
309,C30H28N6OS,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2C2=NN(c3ccccc3)[S+]([O-])N2)cc1,15.79,0.3,2.54,10.9,520.66,5.68,75.41,5.0,1.0,2.0,6.0,0.31,6.81,6.39,5.0,38.0,7.0,1.0,2.0,520.2045,4.0
310,C43H48N4O6S,CCCc1ccc2c(c1)-c1ccc(cc1)Cn1c(CCC)nc3ccc(cc3c1=O)N(C(=O)OCc1ccccc1)CCCCCCCC(=O)NS2(=O)=O,10.04,0.19,-0.8,5.89,748.95,8.32,127.67,8.0,1.0,2.0,6.0,0.19,9.29,8.15,5.0,54.0,10.0,1.0,2.0,748.3295,5.0
311,C25H26N4O3S,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(C)=O)cc1,18.72,0.36,4.51,9.22,462.58,4.15,93.95,6.0,1.0,0.0,6.0,0.46,3.8,3.13,4.0,33.0,7.0,1.0,0.0,462.1726,3.0
312,C37H36Cl2FN5O5S,CCCCc1nn(-c2cc(NC(C)=O)ccc2Cl)c(=O)n1Cc1ccc(-c2cc(CCC)ccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1F,12.02,0.24,1.48,6.84,752.7,7.57,132.16,8.0,2.0,2.0,13.0,0.13,8.95,8.01,5.0,51.0,10.0,2.0,2.0,751.1798,2.0
313,C26H26ClN3O4,CCc1nc2c(C)cc(C)nc2n1Cc1cc(Cl)c(OC(C(=O)O)c2ccccc2)c(OC)c1,16.24,0.31,2.27,9.02,479.96,5.53,86.47,6.0,1.0,1.0,8.0,0.36,4.85,2.13,4.0,34.0,7.0,1.0,1.0,479.1612,5.0
314,C35H41ClFN5O6S,CCCCc1nn(-c2cc(NC(C)=O)ccc2Cl)c(=O)n1Cc1ccc(-c2cc(CCC)ccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,12.71,0.25,2.07,6.42,714.26,7.01,141.39,9.0,2.0,2.0,12.0,0.16,8.16,7.22,4.0,49.0,11.0,2.0,3.0,713.245,2.0
315,C35H41ClFN5O6S,CCCCc1nn(-c2cc(NC(C)=O)ccc2Cl)c(=O)n1Cc1ccc(-c2cc(CCC)ccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1F,12.71,0.25,2.07,6.42,714.26,7.01,141.39,9.0,2.0,2.0,12.0,0.16,8.16,7.22,4.0,49.0,11.0,2.0,3.0,713.245,2.0
316,C32H27ClF3N5O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2cccnc2Cl)cc1,13.43,0.27,2.72,7.76,670.11,6.28,115.95,8.0,1.0,2.0,10.0,0.18,7.44,6.5,5.0,46.0,9.0,1.0,2.0,669.1424,3.0
317,C32H38Cl2N4O4S,CCCCc1nn(CC(C)(C)C)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1.ClCCl,15.13,0.29,3.21,8.23,645.65,5.27,103.06,7.0,1.0,2.0,10.0,0.28,6.92,5.98,4.0,40.0,8.0,1.0,2.0,560.2457,4.0
318,C26H26N8O,CCCCc1nn(-c2ccccc2N)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,466.55,3.85,120.3,8.0,2.0,0.0,8.0,0.34,6.33,5.07,5.0,35.0,9.0,3.0,0.0,466.223,7.0
319,C26H26N8O,CCCCc1nn(-c2ccccc2N)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,15.0,0.27,3.15,5.82,466.55,3.85,120.3,8.0,2.0,0.0,8.0,0.34,6.33,5.07,5.0,35.0,9.0,3.0,0.0,466.223,7.0
320,C26H26N8O,CCCCc1nn(-c2ccccc2N)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,466.55,3.85,120.3,8.0,2.0,0.0,8.0,0.34,6.33,5.07,5.0,35.0,9.0,3.0,0.0,466.223,7.0
321,C25H23N3O4,CCCc1nc2c(C)ccnc2n1Cc1ccc2c(c1)OC(C(=O)O)(c1ccccc1)O2,16.89,0.31,2.8,8.39,429.48,4.45,86.47,6.0,1.0,0.0,6.0,0.49,5.01,2.22,4.0,32.0,7.0,1.0,0.0,429.1689,6.0
322,C33H32KN9O2,CC1CC(=O)N(CC(=O)N(C)C)N=C1c1ccc2nc(C3CC3)n(Cc3ccc(-c4ccccc4-c4nn[n-]n4)cc3)c2c1.[K+],,,,,625.78,4.47,125.26,8.0,1.0,1.0,8.0,0.29,4.52,3.66,5.0,44.0,11.0,1.0,2.0,587.2757,3.0
323,C36H28N8O2,Cn1nnnc1-c1ccccc1-c1ccc(Cn2cnc3ccc(N(Cc4cccnc4)C(=O)c4ccccc4)cc3c2=O)cc1,14.5,0.26,3.23,7.85,604.67,5.54,111.69,9.0,0.0,2.0,8.0,0.22,5.19,5.19,7.0,46.0,10.0,0.0,2.0,604.2335,3.0
324,C27H26N6O2S,CCCCc1nc2ccc([S+](C)[O-])cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,18.14,0.34,4.68,8.5,498.61,4.37,106.42,7.0,1.0,0.0,8.0,0.34,4.3,3.26,5.0,36.0,8.0,1.0,0.0,498.1838,3.0
325,C27H26N6O2S,CCCCc1nc2ccc([S+](C)[O-])cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,18.05,0.34,4.63,8.46,498.61,4.37,106.42,7.0,1.0,0.0,8.0,0.34,4.3,3.26,5.0,36.0,8.0,1.0,0.0,498.1838,3.0
326,C35H40N4O6S,CCCCc1nc2ccc(N(C)C(=O)OCC(C)C)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C2CC2)cc1,12.61,0.24,2.23,6.37,644.79,5.9,127.67,8.0,1.0,2.0,12.0,0.2,6.58,5.44,4.0,46.0,10.0,1.0,2.0,644.2669,4.0
327,C29H28N4O5S,CCCCc1nnc(SCc2cccc(C(=O)O)c2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,14.37,0.27,2.21,5.82,544.63,5.61,134.41,7.0,3.0,2.0,12.0,0.2,5.49,-0.73,4.0,39.0,9.0,3.0,2.0,544.178,5.0
328,C29H28N4O5S,CCCCc1nnc(SCc2cccc(C(=O)O)c2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,14.37,0.27,2.21,5.82,544.63,5.61,134.41,7.0,3.0,2.0,12.0,0.2,5.49,-0.73,4.0,39.0,9.0,3.0,2.0,544.178,5.0
329,C37H29N7O2,Cn1nnnc1-c1ccccc1-c1ccc(Cn2cnc3ccc(N(Cc4ccccc4)C(=O)c4ccccc4)cc3c2=O)cc1,13.81,0.25,2.19,8.44,603.69,6.15,98.8,8.0,0.0,2.0,8.0,0.21,6.4,6.4,7.0,46.0,9.0,0.0,2.0,603.2383,4.0
330,C29H24F6N4O5S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)C(=O)C(F)(F)F)cc1,13.9,0.28,4.05,7.57,654.59,5.05,120.13,8.0,1.0,2.0,10.0,0.19,7.4,6.46,4.0,45.0,9.0,1.0,2.0,654.1372,2.0
331,C33H28F3N5O4S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)Nc2nc3ccccc3o2)cc1,12.79,0.25,1.23,7.4,647.68,7.05,112.02,8.0,1.0,2.0,10.0,0.17,7.9,7.29,6.0,46.0,9.0,1.0,2.0,647.1814,4.0
332,C28H27N5O2,CCCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2c(C(=O)O)c(N)nc3ccccc23)cc1,,,,,465.56,5.54,106.92,6.0,2.0,1.0,6.0,0.34,4.34,3.36,5.0,35.0,7.0,3.0,1.0,465.2165,4.0
333,C29H28N4O4S,CCCCc1nnc(SCC(=O)c2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.71,0.24,1.13,5.89,528.63,5.59,114.18,7.0,2.0,2.0,12.0,0.18,5.14,2.05,4.0,38.0,8.0,2.0,2.0,528.1831,7.0
334,C29H28N4O4S,CCCCc1nnc(SCC(=O)c2ccccc2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,12.71,0.24,1.13,5.89,528.63,5.59,114.18,7.0,2.0,2.0,12.0,0.18,5.14,2.05,4.0,38.0,8.0,2.0,2.0,528.1831,7.0
335,C33H31N7O,CCCCc1nc2ccc(NCc3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.54,0.3,2.71,8.84,541.66,6.25,101.38,7.0,2.0,2.0,10.0,0.21,5.97,5.75,6.0,41.0,8.0,2.0,2.0,541.259,4.0
336,C33H31N7O,CCCCc1nc2ccc(NCc3ccccc3)cc2c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,14.95,0.27,1.85,7.99,541.66,6.25,101.38,7.0,2.0,2.0,10.0,0.21,5.97,5.75,6.0,41.0,8.0,2.0,2.0,541.259,4.0
337,C35H32BrF2N5O5S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4F)cc3F)c2=O)c1,12.83,0.27,3.06,7.31,752.64,6.6,132.16,8.0,2.0,2.0,12.0,0.15,7.95,7.01,5.0,49.0,10.0,2.0,2.0,751.1276,1.0
338,C35H32BrF2N5O5S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4F)cc3F)c2=O)c1,12.83,0.27,3.06,7.31,752.64,6.6,132.16,8.0,2.0,2.0,12.0,0.15,7.95,7.01,5.0,49.0,10.0,2.0,2.0,751.1276,1.0
339,C35H32BrF2N5O5S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)c4ccccc4F)cc3F)c2=O)c1,12.83,0.27,3.06,7.31,752.64,6.6,132.16,8.0,2.0,2.0,12.0,0.15,7.95,7.01,5.0,49.0,10.0,2.0,2.0,751.1276,1.0
340,C30H28N4O3S,CCc1nc2c(C)cc(C)nn2c1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2)cc1,17.34,0.33,3.81,9.74,524.65,5.29,93.43,6.0,1.0,2.0,7.0,0.31,5.69,5.14,5.0,38.0,7.0,1.0,2.0,524.1882,2.0
341,C24H23N3O2,CCc1nc2c(C)cc(C)nn2c1Cc1ccc(-c2ccccc2C(=O)O)cc1,18.37,0.33,2.22,10.49,385.47,4.86,67.49,4.0,1.0,0.0,5.0,0.53,4.58,1.98,4.0,29.0,5.0,1.0,0.0,385.17900000000003,6.0
342,C30H44N4O3,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)[C@H](CCO)C1,,,,,508.71,6.12,67.33,3.0,1.0,2.0,12.0,0.35,5.0,5.0,2.0,37.0,7.0,1.0,2.0,508.3413,10.0
343,C30H31F3N4O5S,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)COCC)cc1,14.8,0.29,4.17,8.13,616.66,4.95,112.29,8.0,1.0,1.0,12.0,0.24,6.16,5.22,4.0,43.0,9.0,1.0,1.0,616.1967,2.0
344,C19H19Br2N3O3,CCCc1nc2c(C)cc(C(=O)OC)nc2n1Cc1cc(Br)c(O)c(Br)c1,16.7,0.42,3.54,10.75,497.19,4.76,77.24,6.0,1.0,0.0,5.0,0.52,5.56,5.04,3.0,27.0,6.0,1.0,0.0,494.9793,4.0
345,C19H19Br2N3O3,CCCc1nc2c(C)cc(C(=O)OC)nc2n1Cc1cc(Br)c(O)c(Br)c1,16.7,0.42,3.54,10.75,497.19,4.76,77.24,6.0,1.0,0.0,5.0,0.52,5.56,5.04,3.0,27.0,6.0,1.0,0.0,494.9793,4.0
346,C35H34FN5O6S,CCc1nc2ccc(NC(=O)c3ccccn3)cc2c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,12.86,0.25,2.72,5.78,671.75,5.92,149.35,9.0,2.0,2.0,11.0,0.18,6.75,5.49,5.0,48.0,11.0,2.0,3.0,671.2214,3.0
347,C34H35N5O3S,C=CCN(c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1)C(C(=O)NS(=O)(=O)c1ccccc1)c1ccccc1,,,,,593.75,5.9,97.19,7.0,1.0,2.0,11.0,0.19,6.5,5.93,5.0,43.0,8.0,1.0,2.0,593.2461,3.0
348,C33H35N5O3S,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(N(CC)C(C(=O)NS(=O)(=O)c2ccccc2)c2ccccc2)cc1,,,,,581.74,5.73,97.19,7.0,1.0,2.0,10.0,0.23,6.13,5.55,5.0,42.0,8.0,1.0,2.0,581.2461,2.0
349,C23H24N6O2,CCCc1n[nH]c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,416.49,3.98,109.44,6.0,2.0,0.0,8.0,0.42,5.54,4.28,4.0,31.0,8.0,2.0,0.0,416.1961,7.0
350,C26H27F3N6O2,CCCCc1nn(CC(F)(F)F)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,512.54,5.4,98.58,7.0,1.0,2.0,10.0,0.29,6.95,5.69,4.0,37.0,8.0,1.0,2.0,512.2148,5.0
351,C28H40N4O2,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2ccccc2)CC1,10.55,0.2,-1.46,10.41,464.65,6.36,47.1,2.0,0.0,1.0,10.0,0.38,5.57,5.57,2.0,34.0,6.0,0.0,1.0,464.3151,10.0
352,C34H37N5O3S,CCCN(c1ccc(Cn2c(CC)nc3c(C)cc(C)nc32)cc1)C(C(=O)NS(=O)(=O)c1ccccc1)c1ccccc1,,,,,595.77,6.12,97.19,7.0,1.0,2.0,11.0,0.2,6.65,6.08,5.0,43.0,8.0,1.0,2.0,595.2617,2.0
353,C27H24ClN5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2c(Cl)cccc2C#N)c1,,,,,453.98,6.19,59.43,5.0,0.0,1.0,5.0,0.32,6.33,6.33,5.0,33.0,5.0,0.0,1.0,453.17199999999997,7.0
354,C37H40N8O,CCCCC(=O)N(Cc1ccccc1)c1cc2nc(CCCC)n(Cc3ccc(-c4ccccc4-c4nn[nH]n4)cc3)c2nc1C,15.18,0.28,1.6,8.82,612.78,7.7,105.48,7.0,1.0,2.0,13.0,0.14,8.3,7.04,6.0,46.0,9.0,1.0,2.0,612.3325,2.0
355,C38H40N8O3,CCCCc1nn(CCCN(Cc2ccccc2)C(=O)OCc2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,656.79,6.51,123.82,9.0,1.0,2.0,15.0,0.13,8.91,7.64,6.0,49.0,11.0,1.0,3.0,656.3223,5.0
356,C34H31N11O,CCCCc1nn(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,609.7,5.18,148.74,10.0,2.0,2.0,11.0,0.2,8.83,6.3,7.0,46.0,12.0,2.0,3.0,609.2713,5.0
357,C24H28N8O2,CCCCc1nn(C(C)C(=O)NC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,460.54,2.59,123.38,8.0,2.0,0.0,9.0,0.4,4.95,3.69,4.0,34.0,10.0,2.0,0.0,460.2335,6.0
358,C25H29N7O,CCCCc1nn(C2CCCC2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,443.56,4.4,94.28,7.0,1.0,0.0,8.0,0.44,6.74,5.47,4.0,33.0,8.0,1.0,0.0,443.2434,3.0
359,C25H25N3O3,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(OC(C(=O)O)c2ccccc2)cc1,18.14,0.33,2.68,9.76,415.49,4.86,77.24,5.0,1.0,0.0,7.0,0.47,4.48,1.76,4.0,31.0,6.0,1.0,0.0,415.1896,5.0
360,C30H28Cl2N6O2,CCCCc1nn(-c2cccc(Cl)c2Cl)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,575.5,7.14,98.58,7.0,1.0,2.0,10.0,0.18,8.78,7.52,5.0,40.0,8.0,1.0,2.0,574.1651,6.0
361,C28H27ClN8O2S,CCCCc1nnc([S+]([O-])Cc2ccc(Cl)cc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nn[nH]n2)cc1,13.01,0.26,2.42,5.7,575.1,5.06,131.34,8.0,2.0,2.0,11.0,0.23,5.34,4.01,5.0,40.0,10.0,2.0,2.0,574.1666,5.0
362,C28H27ClN8O2S,CCCCc1nnc([S+]([O-])Cc2ccc(Cl)cc2)n1Cc1ccc(NC(=O)c2ccccc2-c2nn[nH]n2)cc1,13.84,0.27,2.9,6.06,575.1,5.06,131.34,8.0,2.0,2.0,11.0,0.23,5.34,4.01,5.0,40.0,10.0,2.0,2.0,574.1666,5.0
363,C30H30N4O5S,CCCCc1nnc(SCc2cccc(C(=O)OC)c2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,13.47,0.26,1.82,6.1,558.66,5.7,123.41,8.0,2.0,2.0,12.0,0.17,5.84,2.76,4.0,40.0,9.0,2.0,2.0,558.1937,5.0
364,C30H30N4O5S,CCCCc1nnc(SCc2cccc(C(=O)OC)c2)n1Cc1ccc(NC(=O)c2ccccc2C(=O)O)cc1,13.47,0.26,1.82,6.1,558.66,5.7,123.41,8.0,2.0,2.0,12.0,0.17,5.84,2.76,4.0,40.0,9.0,2.0,2.0,558.1937,5.0
365,C25H24N6,CCCCc1nc2ccccc2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,17.18,0.31,1.75,9.71,408.51,5.27,72.28,5.0,1.0,1.0,7.0,0.4,6.15,5.33,5.0,31.0,6.0,1.0,1.0,408.2062,6.0
366,C31H32N6O2,CCCCc1nn(-c2ccccc2C)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,520.64,6.14,98.58,7.0,1.0,2.0,10.0,0.22,8.15,6.89,5.0,39.0,8.0,1.0,2.0,520.2587,5.0
367,C23H24N6O2,CCCc1nc(CC)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,19.74,0.36,4.23,7.5,416.49,3.99,109.58,6.0,2.0,0.0,8.0,0.45,3.02,0.93,4.0,31.0,8.0,2.0,0.0,416.1961,4.0
368,C27H24Cl2N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2cc(Cl)c(Cl)cc2C(=O)O)c1,,,,,507.42,6.67,72.94,5.0,1.0,2.0,6.0,0.28,6.06,3.38,5.0,35.0,6.0,1.0,2.0,506.1276,5.0
369,C27H28N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(C(=O)O)c1ccccc1,,,,,440.55,4.85,71.25,5.0,1.0,0.0,6.0,0.46,5.06,2.34,4.0,33.0,6.0,1.0,0.0,440.2212,6.0
370,C28H28N4O2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2ccccc2C(=O)OC)c1,,,,,452.56,5.45,61.94,6.0,0.0,1.0,6.0,0.32,5.88,5.88,5.0,34.0,6.0,0.0,1.0,452.2212,8.0
371,C37H37Cl2N5O5S,CCCCc1nn(-c2cc(NC(=O)C(C)(C)C)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,13.33,0.27,2.3,7.41,734.71,7.5,132.16,8.0,2.0,2.0,11.0,0.14,9.2,8.26,5.0,50.0,10.0,2.0,2.0,733.1892,1.0
372,C37H37Cl2N5O5S,CCCCc1nn(-c2cc(NC(=O)C(C)(C)C)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,13.33,0.27,2.3,7.41,734.71,7.5,132.16,8.0,2.0,2.0,11.0,0.14,9.2,8.26,5.0,50.0,10.0,2.0,2.0,733.1892,1.0
373,C27H25N5O3,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2C(=O)c2ccccc2NC(=O)O)c1,,,,,467.53,5.39,102.04,6.0,2.0,1.0,5.0,0.36,3.93,1.33,5.0,35.0,8.0,2.0,1.0,467.1957,6.0
374,C27H25N5O,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(=O)c1ccccc1C#N,,,,,435.53,4.73,74.81,5.0,0.0,0.0,4.0,0.46,4.68,4.68,4.0,33.0,6.0,0.0,0.0,435.2059,8.0
375,C27H25N5,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2ccccc2C#N)c1,,,,,419.53,5.53,59.43,5.0,0.0,1.0,5.0,0.38,5.73,5.73,5.0,32.0,5.0,0.0,1.0,419.211,8.0
376,C27H26N8,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(ccn2Cc2ccccc2-c2nn[nH]n2)c1,,,,,462.56,4.84,90.1,7.0,1.0,0.0,6.0,0.38,6.0,4.76,6.0,35.0,8.0,1.0,0.0,462.228,4.0
377,C34H32N8O2,CCCCCN(C(=O)c1ccncc1)c1ccc2ncn(Cc3ccc(-c4ccccc4-c4nnnn4C)cc3)c(=O)c2c1,14.63,0.27,3.02,7.66,584.68,5.53,111.69,9.0,0.0,2.0,10.0,0.19,5.23,5.23,6.0,44.0,10.0,0.0,2.0,584.2648,3.0
378,C33H38ClN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1,14.48,0.29,3.37,6.84,668.22,6.31,141.39,9.0,2.0,2.0,11.0,0.19,7.32,6.37,4.0,46.0,11.0,2.0,3.0,667.2231,1.0
379,C33H38ClN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1,14.48,0.29,3.37,6.84,668.22,6.31,141.39,9.0,2.0,2.0,11.0,0.19,7.32,6.37,4.0,46.0,11.0,2.0,3.0,667.2231,1.0
380,C33H38ClN5O6S,CCCCc1nn(-c2cc(NC(=O)CC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OC(C)(C)C)cc1,14.48,0.29,3.37,6.84,668.22,6.31,141.39,9.0,2.0,2.0,11.0,0.19,7.32,6.37,4.0,46.0,11.0,2.0,3.0,667.2231,1.0
