,Molecular Formula,Smiles,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Molecular Weight,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Grade
875,C32H29N7O,CCCCc1nn(-c2ccccc2-c2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,16.0,0.29,2.5,8.96,527.63,5.94,94.28,7.0,1.0,2.0,9.0,0.25,8.77,7.51,6.0,40.0,8.0,1.0,2.0,527.2434,4.0
876,C32H29N7O,CCCCc1nn(-c2ccccc2-c2ccccc2)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,527.63,5.94,94.28,7.0,1.0,2.0,9.0,0.25,8.77,7.51,6.0,40.0,8.0,1.0,2.0,527.2434,4.0
877,C24H29N7O,CCCCc1nn(C(C)CC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,431.54,4.25,94.28,7.0,1.0,0.0,9.0,0.43,6.71,5.45,4.0,32.0,8.0,1.0,0.0,431.2434,3.0
878,C24H29N7O,CCCCc1nn(C(C)CC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,431.54,4.25,94.28,7.0,1.0,0.0,9.0,0.43,6.71,5.45,4.0,32.0,8.0,1.0,0.0,431.2434,3.0
879,C24H29N7O,CCCCc1nn(C(C)CC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,,,,431.54,4.25,94.28,7.0,1.0,0.0,9.0,0.43,6.71,5.45,4.0,32.0,8.0,1.0,0.0,431.2434,3.0
880,C24H29N7O,CCCCc1nn(C(C)CC)c(=O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,20.26,0.37,4.49,9.28,431.54,4.25,94.28,7.0,1.0,0.0,9.0,0.43,6.71,5.45,4.0,32.0,8.0,1.0,0.0,431.2434,3.0
881,C35H32N4O3S2,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(-c2cc(Cc3ccccc3)sc2S(=O)(=O)NC(=O)c2ccccc2)cc1,12.89,0.25,0.9,8.52,620.8,7.1,93.95,7.0,1.0,2.0,9.0,0.19,8.09,7.22,6.0,44.0,7.0,1.0,2.0,620.1916,5.0
882,C33H41N3O3,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc(CCC)c1OC(C(=O)O)c1ccc(CC)cc1,14.63,0.27,0.39,10.0,527.71,7.33,77.24,5.0,1.0,2.0,12.0,0.21,8.49,5.74,4.0,39.0,6.0,1.0,2.0,527.3148,5.0
883,C33H41N3O3,CCCc1cc(Cn2c(CC)nc3c(C)cc(C)nc32)cc(CCC)c1OC(C(=O)O)c1ccc(CC)cc1,14.63,0.27,0.39,10.0,527.71,7.33,77.24,5.0,1.0,2.0,12.0,0.21,8.49,5.74,4.0,39.0,6.0,1.0,2.0,527.3148,5.0
884,C32H35BrFN5O6S,CCCCC(=O)Nc1ccc(Br)c(-n2nc(CC)n(Cc3ccc(-c4ccccc4S(=O)(=O)NC(=O)OC(C)C)cc3F)c2=O)c1,12.68,0.27,2.92,6.43,716.63,6.17,141.39,9.0,2.0,2.0,12.0,0.18,7.34,6.4,4.0,46.0,11.0,2.0,3.0,715.1475,2.0
